Games,Console,Edition,Developer,Publisher,Year,New,Box,Manual,Genre,
戦国BASARA クロニクルヒーローズ,Playstation Portable,Japanese,CAPCOM,CAPCOM,2009,No,Yes,No,Action / Hack and Slash,
VitaminZ Revolution,Playstation Portable,Japanese,Hune X,D3 Publisher,2010,No,Yes,No,Visual Novel / Otome,
Diabolik Lovers,Playstation Portable,Japanese,Rejet,Idea Factory,2012,No,Yes,Yes,Visual Novel / Otome,
Amnesia crowd,Playstation Portable,Japanese,Desing Factory,Idea Factory,2013,No,Yes,No,Visual Novel / Otome,
金色のコルダ,Playstation Portable,Japanese,Ruby Party,Koei,2009,No,Yes,Yes,Visual Novel / Otome,
遥かなる時空の中で４,Playstation Portable,Japanese,Koei,Koei,2008,No,Yes,Yes,Visual Novel / Otome,
遙かなる時空の中で3,Playstation Portable,Japanese,Koei,Koei,2009,No,Yes,Yes,Visual Novel / Otome,
薄桜鬼,Playstation Portable,Japanese,Design Factory,Idea Factory,2009,No,Yes,Yes,Visual Novel / Otome,
ファンタシースターポータブル,Playstation Portable,Japanese,SEGA,SEGA,2008,Yes,Yes,Yes,Action RPG,
つカレっ☆ 恋愛デビュー宣言,Playstation Portable,Japanese,"Bridge Co., Ltd","Bridge Co., Ltd",2012,No,Yes,Yes,Visual Novel / Otome,
うたの☆プリンスさまっ♪Repeat LOVE,Playstation Portable,Japanese,Nippon Ichi Software,Brocoli,2011,No,Yes,Yes,Visual Novel / Otome,
うたの☆プリンスさまっ♪All Star,Playstation Portable,Japanese,Nippon Ichi Software,Brocoli,2013,No,Yes,Yes,Visual Novel / Otome,
Starry Sky,Playstation Portable,Japanese,Honeybee,Honeybee,2012,No,Yes,Yes,Visual Novel / Otome,
Amnesiaアムネシア,Playstation Portable,Japanese,Design Factory,Idea Factory,2011,No,Yes,Yes,Visual Novel / Otome,
Square Enix Final Fantasy VII Rebirth,Playstation 5,European,Square Enix,Square Enix,2024,No,Yes,Yes,Action RPG,
Spider-Man 2,Playstation 5,European,Insomniac Games,Sony Interactive Entertainment,2023,No,Yes,No,Action-Adventure,
Shin Megami Tensei V: Vengeance,Playstation 5,European,ATLUS,SEGA,2024,No,Yes,No,JRPG,
Resident Evil 4 Remastered,Playstation 5,European,CAPCOM,CAPCOM,2023,No,Yes,No,Survival Horror / Third-Person Shooter,
Puyopuyo Tetris 2,Playstation 5,European,SEGA,SEGA,2020,No,Yes,No,Puzzle,
NHL 22,Playstation 5,European,Electronic Arts,Electronic Arts,2021,Yes,Yes,Yes,Sports (Ice Hockey),
Metaphor: Rephantazio,Playstation 5,European,ATLUS,SEGA,2024,No,Yes,No,JRPG,
Hogwarts Legacy,Playstation 5,European,Avalanche Software,Warner Bros. Games,2023,No,Yes,Yes,Action RPG,
Final Fantasy XVI,Playstation 5,European,Square Enix,Square Enix,2023,No,Yes,Yes,Action RPG,
FIFA 22,Playstation 5,European,Electronic Arts,Electronic Arts,2021,Yes,Yes,Yes,Sports (Football),
Watch Dogs Legion,Playstation 4,European,Ubisoft,Ubisoft,2020,No,Yes,Yes,Action-Adventure / Open World,
Uncharted: The Nathan Drake Collection,Playstation 4,European,Naughty Dog,Sony Interactive Entertainment,2018,Yes,Yes,Yes,Action-Adventure / Third-Person Shooter,
Titan Quest,Playstation 4,European,Iron Lore Entertainment,Thonordic,2018,No,Yes,No,Action RPG,
The Last of Us Part 2,Playstation 4,European,Naughty Dog,Sony Interactive Entertainment,2020,No,Yes,No,Action-Adventure / Survival Horror,
Surviving Mars,Playstation 4,European,Haenimont Games,Paradox Interactive,2018,No,Yes,No,City-Building / Strategy,
Star Wars Jedi Fallen Order,Playstation 4,European,Respawn Entertainment,Electronic Arts,2019,No,Yes,No,Action-Adventure,
Star Wars Battlefront 2,Playstation 4,European,DICE,Electronic Arts,2017,No,Yes,No,Action Shooter,
Spider-Man Miles Morales,Playstation 4,European,Insomniac Games,Sony Computer Entertainment,2020,No,Yes,No,Action-Adventure,
